1,128.55,127.6,1.007445141
2,132.18,91.79,1.440026147
3,127.43,63.03,2.021735681
4,129.22,55.46,2.329967544
5,132.25,48.95,2.701736466
6,130.29,43.9,2.967881549
7,126.56,40.55,3.12108508
8,126.62,37.32,3.392818864
9,127.7,35.86,3.561070831
10,128.78,34.26,3.75890251
11,126.79,32.98,3.844451183
12,126.51,32.75,3.862900763
13,126.76,30.73,4.124959323
14,126.19,29.99,4.207735912
15,126.97,30.33,4.186284207
16,126.98,28.66,4.430565248
17,126.81,29.1,4.357731959
18,126.75,29.83,4.249078109
19,126.98,30.13,4.214404248
20,126.56,30,4.218666667
21,126.19,29.82,4.231723675
22,132.42,30.74,4.307742355
23,126.55,28.95,4.371329879
24,126.55,29.16,4.339849108
25,126.28,29.25,4.317264957
26,125.85,29.67,4.241658241
27,126.68,28.37,4.465280226
28,129.91,28.53,4.553452506
29,129.43,29.76,4.349126344
30,126.41,28.63,4.415298638
31,126.59,28.52,4.438639551
32,126.96,27.96,4.540772532
