1,129.53,130.92,0.989383
2,130.83,90.26,1.44948
3,129.953,64.0433,2.02915
4,160.29,63.18,2.53704
5,137.66,50.8733,2.70594
6,137.213,43.2233,3.17452
7,130.86,38.3233,3.41463
8,132.877,36.09,3.68181
9,130.227,34.72,3.75077
10,130.767,33.7667,3.87266
11,129.917,33.23,3.90962
12,131.627,32.2167,4.08567
13,130.693,31.2167,4.18665
14,130.97,30.4067,4.30728
15,130.103,30.7567,4.23009
16,133.39,30.87,4.32102
17,131.953,30.5167,4.32398
18,133.81,31.75,4.21449
19,131.487,31.3333,4.19638
20,132.633,31.66,4.1893
21,132.253,30.7833,4.29627
22,130.977,31.3667,4.17567
23,132.263,30.45,4.34362
24,130.473,29.9733,4.35298
25,130.52,29.5867,4.41145
26,130.5,29.8033,4.37871
27,130.473,29.46,4.42883
28,131.003,28.6133,4.5784
29,130.26,29.2967,4.44624
30,131.217,28.9833,4.52731
31,130.42,29.65,4.39865
32,131.373,28.7667,4.56686
