1,132.108,132.452,0.997402833
2,131.778,91.286,1.443572947
3,131.62,63.404,2.075894265
4,132.564,56.6,2.342120141
5,131.376,49.004,2.680924006
6,131.2,43.426,3.02123152
7,130.712,40.588,3.220459249
8,130.63,38.236,3.416413851
9,131.18,36.476,3.596337318
10,130.856,35.754,3.659898193
11,133.218,34.134,3.902794867
12,131.246,32.686,4.015358257
13,131.422,31.562,4.16393131
14,131.312,30.746,4.270864503
15,131.146,30.92,4.241461837
16,131.274,30.296,4.333047267
17,131.23,30.534,4.297831925
18,131.71,31.306,4.207180732
19,131.516,31.164,4.220125786
20,132.028,31.218,4.229226728
21,132.69,30.808,4.306998182
22,131.53,30.32,4.338060686
23,131.212,30.344,4.32414975
24,132.112,29.942,4.41226371
25,131.462,29.544,4.449702139
26,131.492,29.51,4.455845476
27,131.878,29.268,4.505876725
28,131.888,28.928,4.559181416
29,131.284,29.256,4.487421384
30,131.324,29.358,4.473192997
31,131.9,29.148,4.525181831
32,131.304,28.912,4.541505257
