1,128.21,129.34,0.991263
2,127.4,77.48,1.6443
3,128.09,60.03,2.13377
4,130.98,50.82,2.57733
5,128.02,45.93,2.78729
6,129.91,41,3.16854
7,128.94,37.89,3.40301
8,128.9,36.31,3.54999
9,130.24,34.58,3.76634
10,131.08,34.6,3.78844
11,129.32,33.26,3.88815
12,129.89,31.91,4.07051
13,129.78,31.32,4.14368
14,129.27,30.76,4.20254
15,128.26,31.04,4.13209
16,128.46,30.65,4.19119
17,129.74,29.22,4.44011
18,129.31,30.16,4.28747
19,129.46,29.27,4.42296
20,130.85,28.38,4.61064
21,128.87,30.35,4.24613
22,131.07,28.4,4.61514
23,129.77,29.18,4.44722
24,128.63,29.38,4.37815
25,129.53,28.34,4.57057
26,129.34,28.35,4.56226
27,130.46,28.19,4.62788
28,129.74,29.36,4.41894
29,131.39,29.3,4.4843
30,128.17,29.37,4.36398
31,129.59,28.55,4.53905
32,129.4,28.17,4.59354
